frequency,callsign,city,state,format,slogan,erp,haat
105.9,WRHB-LP,MIFFLINVILLE,PA,Variety,,0.1,17.0
88.5,WRKC,WILKES-BARRE,PA,Variety,,1.5,-140.0
104.9,WRKT,NORTH EAST,PA,Rock,ROCKET 105,4.5,160.5
99.1,WRKW,EBENSBURG,PA,Rock,ROCKY 99,50.0,152.0
104.9,WRKY-FM,HOLLIDAYSBURG,PA,Hot AC,ROCKY 104-9,0.73,276.0
91.7,WRLC,WILLIAMSPORT,PA,Adult Alternative,THE THUNDER,0.74,-91.0
92.9,WRLG-LP,PHILADELPHIA,PA,Variety,,0.015,78.0
89.1,WRXV,STATE COLLEGE,PA,Christian CHR + Rock,REV FM,0.6,332.0
100.3,WRNB,MEDIA,PA,Rhythm And Blues,100.3 RNB,12.5,302.0
101.3,WROZ,LANCASTER,PA,Soft Christian Contemporary,AIR1,7.4,379.0
91.1,WRPV,RIDGWAY,PA,Christian CHR + Rock,REV FM,0.24,92.0
94.3,WRQI,SAEGERTOWN,PA,Classic Rock,ROCKY 94.3 - 107.7,2.15,168.0
88.1,WRQV,RIDGWAY,PA,Christian CHR + Rock,REV FM,2.1,249.0
107.7,WRQW,COOPERSTOWN,PA,Classic Rock,ROCKY 94.3 - 107.7,4.5,115.0
96.9,WRRK,BRADDOCK,PA,Adult Hits,96.9 BOB FM,45.0,162.0
92.3,WRRN,WARREN,PA,Classic Hits,92 GOLD,50.0,125.0
95.3,WRSC-FM,BELLEFONTE,PA,Talk,,0.51,337.0
94.9,WRSD,FOLSOM,PA,Variety,RIDLEY RAIDER RADIO,0.014,6.0
90.1,WRTI,PHILADELPHIA,PA,Classical/Jazz,TEMPLE UNIVERSITY PUBLIC RADIO,7.7,371.0
89.3,WRTJ,COATESVILLE,PA,Classical/Jazz,TEMPLE UNIVERSITY PUBLIC RADIO,0.46,87.5
90.7,WRTL,EPHRATA,PA,Classical/Jazz,TEMPLE UNIVERSITY PUBLIC RADIO,0.65,265.0
103.7,WRTS,ERIE,PA,Contemporary Hit Radio,ERIE'S NUMBER ONE HIT MUSIC STATION - STAR 104,50.0,152.0
91.1,WRTY,JACKSON TOWNSHIP,PA,Classical/Jazz,TEMPLE UNIVERSITY PUBLIC RADIO,3.5,264.0
90.5,WRVI,ALLPORT,PA,Christian CHR + Rock,REV FM,1.6,270.0
97.3,WRVV,HARRISBURG,PA,Classic Hits,THE RIVER,15.0,260.0
88.7,WRYV,MILROY,PA,Christian CHR + Rock,REV FM,2.2,265.0
102.9,WRZO-LP,CHAMBERSBURG,PA,Variety,,0.1,25.0
91.1,WSAJ-FM,GROVE CITY,PA,Classical/Jazz,,2.7,153.0
93.5,WSBG,STROUDSBURG,PA,Hot AC,93.5 SBG,0.43,266.0
89.1,WSFX,NANTICOKE,PA,Adult Alternative,89.1 THE CUTTING EDGE,0.1,-116.0
99.7,WSHH,PITTSBURGH,PA,Adult Contemporary,WISH 99.7,17.0,260.0
93.7,WSJR,DALLAS,PA,Country,CAT COUNTRY,1.45,207.0
104.3,WSKE,EVERETT,PA,Country,COOL COUNTRY 104.3,0.82,270.0
101.7,WSOV-LP,MILLHEIM,PA,Variety,,0.1,-91.0
96.1,WSOX,RED LION,PA,Classic Hits,96.1 SOX,13.5,290.0
92.1,WSQV,LOCK HAVEN,PA,Classic Rock,92.1 WSQV THE VALLEY'S BEST ROCK,6.0,69.0
91.5,WSRN-FM,SWARTHMORE,PA,Variety,,0.11,43.0
88.1,WSRU,SLIPPERY ROCK,PA,Variety,THE VOICE OF THE ROCK,0.1,24.0
88.7,WSYC-FM,SHIPPENSBURG,PA,Adult Alternative,WSYC 88.7 FM,0.13,-47.0
96.5,WTDY-FM,PHILADELPHIA,PA,Hot AC,THE NEW 96.5,9.6,337.8
88.3,WTIO,MAINESBURG,PA,News,WVIA PUBLIC RADIO,0.048,258.6
89.9,WTLR,STATE COLLEGE,PA,Religious Teaching,WAY TRUTH LIFE RADIO,12.0,279.0
93.5,WTPA-FM,MECHANICSBURG,PA,Classic Rock,CENTRAL PA'S CLASSIC ROCK 93.5 WTPA,1.25,219.0
94.3,WTRW,CARBONDALE,PA,Talk,94.3 THE TALKER,0.97,249.0
95.3,WTTC-FM,TOWANDA,PA,Classic Rock,95.3 THE BRIDGE,5.4,38.0
93.9,WTWF,FAIRVIEW,PA,Country,ERIE'S NEW COUNTRY - 93.9 THE WOLF,6.0,91.0
106.9,WUKL,MASONTOWN,PA,Contemporary Christian,K-LOVE,0.98,247.0
106.1,WUMR,PHILADELPHIA,PA,Spanish Hits,RUMBA 106.1,22.5,226.0
98.9,WUSL,PHILADELPHIA,PA,Urban Contemporary,POWER 99,27.0,204.0
99.5,WUSR,SCRANTON,PA,Variety,,0.41,378.0
95.5,WUTT-LP,ERIE,PA,Urban AC,,0.055,41.0
105.7,WUUK-LP,CANADOHTA LAKE,PA,Classic Hits,,0.085,33.0
90.5,WVBU-FM,LEWISBURG,PA,Rock,,0.225,-10.0
94.5,WVHO-LP,NANTICOKE,PA,Religious Teaching,,0.1,-141.0
89.9,WVIA-FM,SCRANTON,PA,Classical/News/Talk,WVIA PUBLIC RADIO,7.4,381.0
100.5,WVIP,SUSQUEHANNA,PA,Oldies,SOLID GOLD 100.5 / 104.5,1.6,196.0
106.7,WVLH-LP,COUDERSPORT,PA,Religious Teaching,,0.1,-33.0
100.9,WVLY-FM,MILTON,PA,Contemporary Christian,K-LOVE,1.3,218.0
91.9,WVME,MEADVILLE,PA,Religious Teaching,MOODY RADIO,4.4,94.0
90.7,WVMM,GRANTHAM,PA,Variety,PULSE RADIO,0.1,50.0
90.1,WVMN,NEW CASTLE,PA,Religious Teaching,MOODY RADIO,2.0,72.0
91.7,WVMW-FM,SCRANTON,PA,Adult Alternative,VMFM 91.7 YOUR ALTERNATIVE,1.8,-83.2
96.7,WVNW,BURNHAM,PA,Country,STAR COUNTRY 96.7 FM,0.45,259.0
96.7,WVPO,LEHMAN TOWNSHIP,PA,Country,BIGFOOT 96.7,5.0,70.0
97.7,WVRT,MILL HALL,PA,Contemporary Hit Radio,V97,6.0,90.0
99.7,WVRZ,MOUNT CARMEL,PA,Contemporary Hit Radio,V97,0.79,197.0
106.9,WVSQ,RENOVO,PA,Rock,THE VALLEY'S BEST ROCK,0.9,188.0
89.7,WVYA,WILLIAMSPORT,PA,Classical/News/Talk,WVIA PUBLIC RADIO,3.3,-5.0
88.1,WVYC,YORK,PA,Adult Alternative,THE VOICE OF YORK COLLEGE,0.036,-21.3
88.7,WWCF,MCCONNELLSBURG,PA,Adult Alternative,,0.007,433.0
88.3,WWEC,ELIZABETHTOWN,PA,Variety,THE SOUND OF ELIZABETHTOWN,0.1,35.0
103.9,WWIZ,WEST MIDDLESEX,PA,Adult Contemporary,Z104,6.0,88.9
106.7,WWKL,HERSHEY,PA,Rhythmic CHR,HOT 106.7,14.0,283.0
88.7,WWLU,LINCOLN UNIVERSITY,PA,Urban Contemporary,LINCOLN UNIVERSITY RADIO,0.003,43.0
88.9,WWNW,NEW WILMINGTON,PA,Hot AC,TITAN RADIO,4.0,33.0
89.5,WWPJ,PEN ARGYL,PA,Classical,"WWFM, THE CLASSICAL NETWORK",0.225,230.8
104.9,WWRR,SCRANTON,PA,Classic Hits,THE RIVER 105 & 103.5,0.25,353.0
94.5,WWSW-FM,PITTSBURGH,PA,Classic Hits,3WS RADIO,50.0,247.0
96.7,WWUC-LP,UNION CITY,PA,Variety,,0.09,-16.972378
92.9,WXCS-LP,CAMBRIDGE SPRINGS,PA,Variety,,0.09,31.429291
91.3,WXAC,READING,PA,Adult Alternative,,0.21,12.0
94.7,WXBB,ERIE,PA,Adult Hits,BOB FM 94.7,1.7,187.0
105.9,WXDX-FM,PITTSBURGH,PA,Rock,THE X AT 105.9,15.5,272.0
107.3,WXED-LP,ELLWOOD CITY,PA,Variety,,0.05,-24.788338
99.9,WXKC,ERIE,PA,Adult Contemporary,CLASSY 100,50.0,150.0
104.5,WXMJ,CAMBRIDGE SPRINGS,PA,Classic Hits,WUZZ RADIO,2.55,156.0
106.3,WXMT,SMETHPORT,PA,Classic Hits,106.3 XMT,1.03,240.2
106.3,WXMT-FM1,BRADFORD,PA,Classic Hits,106.3 XMT,0.81,
88.7,WXPH,MIDDLETOWN,PA,Adult Alternative,XPN 88.5,7.0,216.0
88.5,WXPI,JERSEY SHORE,PA,Variety,WILLIAMSPORT COMMUNITY RADIO,0.11,-157.0
98.5,WXPM-LP,PHOENIXVILLE,PA,Oldies,98.5 THE PHOENIX,0.1,25.0
88.5,WXPN,PHILADELPHIA,PA,Adult Alternative,XPN 88.5,2.65,365.0
97.9,WXTA,EDINBORO,PA,Country,ERIE COUNTRY 97.9,10.0,154.0
88.1,WXTC,GREENVILLE,PA,Classical,WQED CHANGES LIVES,1.6,-2.0
92.5,WXTU,PHILADELPHIA,PA,Country,PHILLY'S COUNTRY STATION,15.0,279.0
89.1,WXVU,VILLANOVA,PA,College,V 89-1 THE ROAR,0.1,85.0
101.7,WXZY-LP,KANE,PA,Variety,101.7 WXZY,0.01,90.0
88.3,WYBQ,LEESPORT,PA,Religious Teaching,BIBLE BROADCASTING NETWORK,0.67,84.0
106.1,WYCO-LP,YORK,PA,Contemporary Christian,,0.1,-21.0
98.5,WYCR,YORK-HANOVER,PA,Classic Rock,ROCKY 98.5,10.5,283.0
105.3,WYCY,HAWLEY,PA,Classic Hits,CLASSIC HITS 105.3,2.9,146.0
91.3,WYEP-FM,PITTSBURGH,PA,Adult Alternative,,18.0,116.0
102.9,WYFM,SHARON,PA,Classic Rock,Y-103,33.0,184.0
88.5,WYFU,MASONTOWN,PA,Religious Teaching,BIBLE BROADCASTING NETWORK,16.0,106.0
95.1,WYLE,GROVE CITY,PA,Country,WILLIE 95.1,19.0,245.0
93.3,WYPM,CHAMBERSBURG,PA,News/Classical,LIVE INSPIRED,0.35,412.0
98.5,WYRA,CONFLUENCE,PA,Contemporary Christian,K-LOVE,0.75,282.0
88.7,WYSP,Colley,PA,,,0.0093,256.0
91.9,WYTL,WYOMISSING,PA,Contemporary Christian,WORD FM,0.45,166.0
88.5,WYVL,YOUNGSVILLE,PA,Christian CHR + Rock,DOVE FM,2.5,130.0
107.1,WZBF,RIDGEBURY,PA,Country,"96-104-107 FM, BIGFOOT COUNTRY",3.2,140.0
96.9,WZBF-FM2,TOWANDA,PA,Country,"96-104-107 FM, BIGFOOT COUNTRY",1.2,
91.1,WZBT,GETTYSBURG,PA,Adult Alternative,,0.35,35.5
92.9,WZML-LP,BRYN MAWR,PA,Variety,,0.005,138.0
89.1,WZMV,MOHRSVILLE,PA,Contemporary Christian,WORD FM,7.5,70.0
91.9,WZRG,KULPMONT,PA,Contemporary Christian,WGRC CHRISTIAN RADIO,1.45,202.0
91.7,WZWG,WEST GROVE,PA,Religious Teaching,HOPE FM,0.16,
93.7,WZWW,BOALSBURG,PA,Hot AC,3WZ,0.33,415.0
90.5,WZXB,BECHTELSVILLE,PA,Contemporary Christian,WORD FM,1.1,172.0
88.3,WZXE,EAST NOTTINGHAM,PA,Contemporary Christian,WORD FM,0.48,145.0
88.1,WZXM,HARRISBURG,PA,Contemporary Christian,WORD FM,0.54,32.0
90.1,WZXN,NEWBURG,PA,Contemporary Christian,WORD FM,6.3,-14.0
88.3,WZXQ,CHAMBERSBURG,PA,Contemporary Christian,WORD FM,0.11,352.0
99.3,WZXR,SOUTH WILLIAMSPORT,PA,Rock,SUSQUEHANNA VALLEY'S HOME OF ROCK & ROLL,0.42,372.0
90.7,WZXY,SPRING GROVE,PA,Contemporary Christian,WORD FM,0.16,225.0
88.1,WZZD,WARWICK,PA,Contemporary Christian,WORD FM,0.43,185.0
90.9,WZZH,HONESDALE,PA,Contemporary Christian,WORD FM,0.11,265.0
95.1,WZZO,BETHLEHEM,PA,Rock,95.1 ZZO,30.0,192.0
