frequency,callsign,city,state,format,slogan,erp,haat
97.1,W246AR,BENSALEM,PA,Adult Standards,RADIO DELAWARE VALLEY,0.074,27.7
97.1,W246CN,COLMAR,PA,Religious,GREAT SONGS OF THE FAITH,0.25,
97.1,W246CS,CHESTER SPRINGS,PA,Religious Teaching,HOPE FM,0.01,
97.3,W247AE,EAST STROUDSBURG,PA,Country,BIGFOOT 96.7,0.25,
97.3,W247DF,BUTLER,PA,Country,BUTT KICKING COUNTRY 1050,0.25,
97.5,W248AR,MONROEVILLE,PA,Oldies,97.5 & 770 KFB,0.21,148.2
97.5,W248BP,SCRANTON,PA,Contemporary Christian,FAMILY LIFE NETWORK,0.25,
97.5,W248DJ,NEW CASTLE,PA,Country,WILLIE,0.25,
97.5,W248DK,BLOOMSBURG,PA,Classic Hits,HANNA 92.3/106.1,0.25,
97.7,W249AA,"LEBANON, ETC.",PA,Religious Teaching,TRUTH FM,0.145,243.0
97.7,W249AT,READING,PA,Classical/Jazz,TEMPLE UNIVERSITY PUBLIC RADIO,0.01,215.3
97.7,W249DD,HUNTINGDON,PA,Classic Hits,"WOWY 97.7, 101.7, 103.5, 105.7",0.108,
97.9,W250AP,CARLISLE,PA,Country,COUNTRY GOLD FM,0.15,23.3
97.9,W250BI,MANSFIELD,PA,Classic Rock,THE MET,0.068,
97.9,W250CP,LATROBE,PA,Classic Rock,103.1 KVE,0.25,
97.9,W250CW,NEW CASTLE,PA,Classic Hits,WUZZ RADIO,0.25,
97.9,W250CY,PITTSBURGH,PA,,BOOST RADIO,0.12,
98.1,W251CE,YORK,PA,Religious Teaching,RADIO THAT CHANGES THE WAY YOU LIVE,0.25,
98.1,W251CL,FRANKLIN,PA,Contemporary Hit Radio,POP 98.1/ 100.7,0.25,
98.5,W253CA,LANSDALE,PA,Classic Hits,WNPV 98.5 FM 1440 AM,0.25,
98.5,W253CC,BETHLEHEM,PA,Variety,SUNNY 1100,0.25,
98.5,W253CJ,ALTOONA,PA,Talk,NEWSTALK 98.5 WRTA,0.25,
98.5,W253CK,READING,PA,Rhythmic CHR,LOUD RADIO 98.5,0.1,
98.5,W253CU,CLEARFIELD,PA,Classic Hits,PASSPORT RADIO,0.2,
98.7,W254AJ,ERIE,PA,Contemporary Christian,FAMILY LIFE NETWORK,0.25,
98.7,W254BU,BROOKVILLE,PA,Adult Contemporary,SUNNY 106.5,0.25,160.9
98.7,W254CR,LATROBE,PA,Classic Hits,WESTMORELAND GOLD,0.18,
98.7,W254DD,EPHRATA,PA,Religious Teaching,TRUTH FM,0.009,
98.7,W254DF,BEDFORD,PA,Talk,1310 WBFD,0.07,
98.9,W255AE,WARREN,PA,News/Classical,Q-91.3,0.05,-49.0
98.9,W255BL,BLOOMSBURG,PA,Contemporary Christian,FAMILY LIFE NETWORK,0.24,
98.9,W255BO,SCRANTON,PA,Classic Hits,GEM 99 & 100,0.154,
98.9,W255DJ,YORK,PA,Sports,SPORTSRADIO 98.9 AND WOYK 1350,0.25,
98.9,W255DM,MCKEESPORT,PA,Urban Gospel,POWER 1360,0.25,
99.1,W256AB,POTTSVILLE,PA,Classical/Jazz,TEMPLE UNIVERSITY PUBLIC RADIO,0.1,107.0
99.1,W256AL,NORTH EAST,PA,Contemporary Christian/Religious Teaching,"FAITH, FAMILY, FUN WCTL 106.3",0.025,-4.1
99.1,W256DE,PITTSBURGH,PA,Talk,TALK RADIO 1320 WJAS,0.099,
99.3,W257AI,ALLENTOWN,PA,Classical/News/Talk,WVIA PUBLIC RADIO,0.004,195.0
99.3,W257EA,BEAVER FALLS,PA,Talk,BEAVER COUNTY RADIO,0.25,
99.5,W258DJ,HAZLETON,PA,Tropical,HOLA RADIO,0.055,
99.5,W258DV,EASTON,PA,Rhythmic CHR,LOUD RADIO,0.09,
99.7,W259AU,HARRISBURG,PA,Adult Alternative,XPN 88.5,0.01,209.2
99.7,W259BU,YORK,PA,Classical/Jazz,TEMPLE UNIVERSITY PUBLIC RADIO,0.019,67.1
99.7,W259CB,TEMPLE,PA,Contemporary Christian,WORD FM,0.099,
99.7,W259DC,DUBOIS,PA,Talk/Sports,CONNECT FM,0.25,
99.7,W259DG,ALTOONA,PA,Classic Hits,"WOWY 97.7, 101.7, 103.5, 105.7",0.25,
99.9,W260AN,TROY,PA,Adult Contemporary,YES FM,0.25,
99.9,W260CC,LANCASTER,PA,News/Talk,WITF - LIVE INSPIRED,0.038,60.1
99.9,W260CZ,PHILADELPHIA,PA,Tropical,LA KALLE 99.9,0.05,
99.9,W260DV,WILKES-BARRE,PA,Classic Hits,GEM 99 & 100,0.25,
100.1,W261AX,PITTSBURGH,PA,News/Talk,100.1 FM AND 1020 AM KDKA,0.099,147.8
100.1,W261CA,LEWISBURG,PA,Classical/News/Talk,WVIA PUBLIC RADIO,0.25,-11.3
100.1,W261DQ,HAZLETON,PA,Classic Hits,GEM 99 & 100,0.055,189.0
100.3,W262AI,"FORTY FORT, ETC.",PA,Contemporary Christian/Religious Teaching,GOOD NEWS 88,0.01,279.0
100.3,W262CU,INDIANA,PA,Classic Hits,CLASSIC HITS 1450 AM,0.25,
100.3,W262CW,HARRISBURG,PA,Religious Teaching,HOPE FM,0.25,
100.3,W262DL,SHIPPENSBURG,PA,Country,RED 102.3,0.25,
100.3,W262DO,LEWISTOWN,PA,Soft AC,WKVA GOLD HITS,0.25,
100.5,W263AG,WILLIAMSPORT,PA,Religious Teaching,LIGHT FOR LIFE . . . WJSA!,0.016,320.0
100.5,W263AL,SCRANTON,PA,Hot AC,MIX FM,0.099,
100.5,W263AW,JOHNSTOWN,PA,News/Talk,PITTSBURGH`S NPR NEWS STATION,0.01,340.4
100.5,W263DB,LANCASTER,PA,Contemporary Hit Radio,RUMBA 100.5,0.25,
100.7,W264AT,WARREN,PA,Contemporary Christian,FAMILY LIFE NETWORK,0.21,
100.7,W264BZ,TYRONE,PA,Classic Hits,96.9 & 100.7 CLASSIC FAVORITES,0.25,
100.7,W264CG,WILKES-BARRE,PA,Classic Hits,THE RIVER 105 & 103.5,0.099,-42.7
100.7,W264DK,MEADVILLE,PA,Contemporary Hit Radio,POP 98.1 & 100.7,0.25,
100.9,W265BB,BRADFORD,PA,News/Talk/Classical,PUBLIC RADIO FOR CENTRAL PENNSYLVANIA,0.05,-107.0
100.9,W265CU,SCRANTON,PA,Contemporary Christian,WORD FM,0.025,-88.4
100.9,W265DI,PUNXSUTAWNEY,PA,Country,GROUNDHOG COUNTRY,0.25,
100.9,W265DU,WAYNESBORO,PA,Sports,FOX SPORTS MASON-DIXON LINE,0.25,
100.9,W265EK,TUNKHANNOCK,PA,Classic Hits,GEM 99 & 100,0.25,
101.1,W266CV,BRADDOCK,PA,Jazz,PITTSBURGH JAZZ CHANNEL,0.099,
101.1,W266CZ,HOMER CITY,PA,News/Talk/Sports,THE VOICE OF INDIANA COUNTY,0.25,
101.1,W266DB,UNIONTOWN,PA,Talk,WMBS 590AM - 101.1FM,0.25,
101.3,W267CM,JOHNSTOWN,PA,Adult Hits,107.1 & 101.3 JACK FM,0.25,
101.5,W268BB,STATE COLLEGE,PA,Variety,,0.069,141.9
101.5,W268BL,"MIFFLINVILLE, ETC.",PA,Contemporary Christian/Religious Teaching,GOOD NEWS 88,0.001,302.9
101.5,W268CJ,CORRY,PA,Contemporary Christian,FAMILY LIFE NETWORK,0.25,
101.7,W269AS,"CARLISLE, ETC.",PA,Contemporary Christian,K-LOVE,0.16,
101.7,W269BL,COATESVILLE,PA,Contemporary Christian,WORD FM,0.003,26.3
101.7,W269BT,POTTSTOWN,PA,Religious Teaching,HOPE FM,0.015,10.2
101.7,W269BX,HILLSVILLE,PA,Religious Teaching,,0.01,97.3
101.7,W269DX,WILLIAMSPORT,PA,Talk,TWIN VALLEY TALK RADIO,0.25,
101.7,W269DY,ALLENTOWN,PA,Spanish Hits,LA MEGA,0.004,
101.7,W269EC,DUBOIS,PA,Classic Hits,PASSPORT RADIO,0.25,37.9
101.9,W270CC,HAMLIN,PA,News/Talk,"WAYNE-PIKE NEWS RADIO 1590, 104.3 & 101.9",0.19,
102.1,W271BP,MONTOURSVILLE,PA,Classic Hits,93.3 WBZD CLASSIC HITS,0.09,
102.1,W271CW,PITTSBURGH,PA,Talk/Oldies,620 KHB,0.025,
102.1,W271DA,ELIZABETHTOWN,PA,Oldies,SWEET 16 WPDC,0.14,
102.3,W272BO,COUDERSPORT,PA,Contemporary Christian,FAMILY LIFE NETWORK,0.01,137.4
102.9,W275CU,AVONIA,PA,Oldies,BOOMER TUNES 1360,0.16,
102.3,W272DV,LOCK HAVEN,PA,Contemporary Christian,FAMILY LIFE NETWORK,0.25,
102.3,W272ED,LEWISBURG,PA,Country,BIGFOOT LEGENDS,0.242,
102.3,W272EN,STATE COLLEGE,PA,Contemporary Christian,WGRC CHRISTIAN RADIO,0.01,269.4
102.5,W273BE,HUNTINGDON,PA,News/Talk/Classical,PUBLIC RADIO FOR CENTRAL PENNSYLVANIA,0.055,25.3
102.5,W273BP,NEWVILLE,PA,Contemporary Christian,THE COMPASS,0.055,-42.0
102.5,W273DM,HAWLEY,PA,News/Talk,"WAYNE-PIKE NEWS RADIO 1590, 104.3 & 101.9",0.25,
102.7,W274AO,CARBONDALE,PA,Classic Rock,ROCK 107,0.25,-78.3
102.7,W274BE,"ALTOONA, ETC.",PA,Christian CHR + Rock,REV FM,0.009,397.3
102.9,W275CV,JOHNSTOWN,PA,Oldies,KOOL,0.099,
102.9,W275CJ,CARLISLE,PA,Oldies,102.9 HYL-FM,0.16,
103.1,W276AS,"MARTINSBURG, ETC.",PA,Religious Teaching/Southern Gospel,HEAVEN 92.7,0.02,159.7
103.1,W276DG,STROUDSBURG,PA,Classic Hits,POCO 103,0.25,
103.3,W277BJ,WILLIAMSPORT,PA,Contemporary Christian,FAMILY LIFE NETWORK,0.25,
103.3,W277DL,CHESTER,PA,Talk,LIBERTY RADIO,0.25,
103.3,W277DS,ERIE,PA,Talk,TALK ERIE!,0.2,
103.5,W278AI,CENTER VALLEY,PA,Contemporary Christian,WORD FM,0.01,299.8
103.5,W278AK,VILLAGE GREEN,PA,Urban Gospel,REACH RADIO GOSPEL,0.08,79.0
103.5,W278AO,WELLSBORO,PA,Classical/News/Talk,WVIA PUBLIC RADIO,0.055,-23.6
103.5,W278BR,POTTSTOWN,PA,Religious,GREAT SONGS OF THE FAITH,0.2,51.2
103.5,W278CR,SOMERSET,PA,Country,FROGGY 95.5,0.25,
103.7,W279AB,CLEARFIELD,PA,Contemporary Christian,FAMILY LIFE NETWORK,0.175,45.0
103.7,W279DN,KITTANNING,PA,Classic Hits,THE RIVER,0.23,
103.7,W279BS,HAMBURG,PA,Contemporary Christian,WORD FM,0.2,298.6
103.7,W279CB,READING,PA,Sports,,0.006,239.5
103.7,W279DC,RED HILL,PA,Religious,GREAT SONGS OF THE FAITH,0.03,
103.7,W279DK,STATE COLLEGE,PA,Country,BIGFOOT COUNTRY LEGENDS,0.25,
103.7,W279EC,HARRISBURG,PA,Talk,,0.13,
103.9,W280CP,WAGONTOWN,PA,Religious Teaching,HOPE 94.5,0.005,10.0
103.9,W280FG,PITTSBURGH,PA,Religious Teaching,RADIO THAT CHANGES THE WAY YOU LIVE,0.008,
103.9,W280FJ,BLOOMSBURG,PA,Contemporary Hit Radio,98.5 KRZ,0.25,
104.1,W281AH,SOMERSET,PA,News/Talk,PITTSBURGH`S NPR NEWS STATION,0.013,72.7
104.1,W281AI,LIGONIER,PA,News/Talk,PITTSBURGH`S NPR NEWS STATION,0.013,17.4
93.7,W229DM,WILLIAMSPORT,PA,Country,BIGFOOT COUNTRY,0.25,
104.1,W281CA,OIL CITY,PA,Sports,1120 FOX SPORTS,0.25,
104.1,W281CO,JERSEY SHORE,PA,Country,BIGFOOT LEGENDS,0.25,
104.3,W282BF,HONESDALE,PA,News/Talk,"WAYNE-PIKE NEWS RADIO 1590, 104.3 & 101.9",0.11,121.0
104.3,W282BR,ERIE,PA,Urban Contemporary,LOUD 103.7,0.173,25.6
104.3,W282CO,BLOOMSBURG,PA,Hot AC,POP RADIO,0.25,
104.3,W282CV,STATE COLLEGE,PA,Country,BIGFOOT COUNTRY LEGENDS,0.25,
104.5,W283BE,SCRANTON,PA,Classic Rock,ROCK 107,0.194,
104.5,W283CX,JOHNSTOWN,PA,Hot AC,POP! 104.5,0.15,
104.5,W283DI,ALTOONA,PA,Hot AC,POP RADIO 104.5,0.25,
104.7,W284AK,CLEARFIELD,PA,News/Talk/Classical,PUBLIC RADIO FOR CENTRAL PENNSYLVANIA,0.05,-97.0
104.7,W284BF,LANCASTER,PA,Religious Teaching,HOPE 94.5,0.2,
104.7,W284BG,LEWISBURG,PA,Contemporary Christian,FAMILY LIFE NETWORK,0.25,
104.7,W284CB,ST. CLAIR,PA,Contemporary Christian,WGRC CHRISTIAN RADIO,0.15,182.5
104.9,W285DH,N. WHITEHALL TOWNSHI,PA,Adult Alternative,XPN 88.5,0.013,105.0
104.9,W285FT,HAZLETON,PA,Classic Hits,THE RIVER 105 & 103.5,0.25,
105.1,W286AL,WAYNESBURG,PA,Country,105.1-1210 WANB COOL COUNTRY,0.13,191.0
105.1,W286CZ,GREENSBURG,PA,Oldies,97.5 & 770 KFB,0.12,
105.3,W287DC,TITUSVILLE,PA,Classic Hits,WUZZ RADIO,0.25,
105.5,W288BE,WILKES-BARRE,PA,Adult Alternative,89-X,0.01,
105.5,W288BO,PITTSBURGH,PA,Country,FROGGY 104,0.04,
105.5,W288DF,MOUNT POCONO,PA,Classic Rock,ROCK 107,0.055,
105.7,W289AH,BETHLEHEM,PA,Classical/News/Talk,WVIA PUBLIC RADIO,0.099,9.5
105.7,W289AI,SUNBURY,PA,Classical/News/Talk,WVIA PUBLIC RADIO,0.011,91.0
105.7,W289CV,MONTOURSVILLE,PA,Country,TALK RADIO,0.25,
105.7,W289CZ,LANSDALE,PA,Adult Standards,RADIO DELAWARE VALLEY,0.072,
105.9,W290BI,ERIE,PA,Talk,TALK ERIE!,0.18,
105.9,W290DP,POTTSVILLE,PA,Adult Contemporary/Talk,YOUR NEWS AND SPORTS LEADER,0.25,
106.1,W291AP,SCRANTON,PA,Classical/Jazz,TEMPLE UNIVERSITY PUBLIC RADIO,0.01,371.1
106.1,W291BC,FIVE FORKS,PA,Contemporary Christian,WORD FM,0.17,
106.1,W291CK,MEADVILLE,PA,News/Classical,Q-91.3,0.019,82.7
106.3,W292DH,PITTSBURGH,PA,Religious,RELEVANT RADIO,0.25,
106.3,W292EQ,LEHIGH TOWNSHIP,PA,Religious Teaching,YOUR STATION FOR INSPIRATION,0.038,
106.3,W292ET,LANCASTER,PA,Classical/Jazz,TEMPLE UNIVERSITY PUBLIC RADIO,0.08,
106.3,W292FD,READING,PA,Religious Teaching,TRUTH FM,0.01,
106.3,W292FM,UNIONTOWN,PA,Country,105.1-1210 WANB COOL COUNTRY,0.035,
106.5,W293BW,ALLENTOWN,PA,Contemporary Hit Radio,B104,0.25,
106.5,W293CP,KUTZTOWN,PA,Religious Teaching,YOUR STATION FOR INSPIRATION,0.18,
106.5,W293DF,BEDFORD,PA,Adult Standards,RAX 106.5,0.25,
106.7,W294AE,ALTOONA,PA,News/Talk/Classical,PUBLIC RADIO FOR CENTRAL PENNSYLVANIA,0.01,414.0
106.7,W294BJ,HONESDALE,PA,Oldies,THE MOTHERSHIP,0.25,53.9
106.7,W294BQ,EASTON,PA,Variety,YOUR NEIGHBOR SERVING YOU,0.109,
106.9,W295AQ,MILFORD,PA,Adult Contemporary,LITE 106.9,0.25,58.6
106.9,W295CR,ALLENTOWN,PA,Rhythmic CHR,LOUD RADIO,0.099,
106.9,W295CV,HAZLETON,PA,Sports,ESPN RADIO,0.035,
107.1,W296AP,WILLIAMSPORT,PA,Contemporary Christian,WGRC CHRISTIAN RADIO,0.01,327.0
107.1,W296BW,ERIE,PA,Business,YOUR MONEY STATION,0.25,8.6
107.1,W296CD,JONESTOWN,PA,Hot AC,POP RADIO,0.2,
107.1,W296CL,READING,PA,Regional Mexican,,0.01,
107.1,W296EA,MANCHESTER TOWNSHIP,PA,Spanish Hits,MEGA 107.1,0.25,
107.1,W296ED,ALTOONA,PA,Adult Hits,107.1 JACK FM,0.094,
107.3,W297AD,PHILADELPHIA,PA,Adult Standards,RADIO DELAWARE VALLEY,0.02,43.7
